player_name,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings,month,day,opponent,team,score
Viktor Gyökeres,90.0,3.0,0.0,0.0,0.0,9.7,Aug,23,Farense,Sporting CP,5.0
Viktor Gyökeres,90.0,2.0,0.0,0.0,0.0,9.2,Aug,17,Nacional,Sporting CP,6.0
Viktor Gyökeres,90.0,1.0,1.0,0.0,0.0,8.5,Aug,9,Rio Ave,Sporting CP,3.0
Viktor Gyökeres,120.0,0.0,2.0,0.0,0.0,8.4,Aug,3,FC Porto,Sporting CP,3.0
Viktor Gyökeres,120.0,0.0,0.0,1.0,0.0,8.1,May,26,FC Porto,Sporting CP,1.0
Viktor Gyökeres,90.0,2.0,0.0,0.0,0.0,9.0,May,18,Chaves,Sporting CP,3.0
Viktor Gyökeres,90.0,0.0,0.0,0.0,0.0,7.2,May,11,Estoril,Sporting CP,1.0
Viktor Gyökeres,90.0,1.0,0.0,0.0,0.0,7.9,May,4,Portimonense,Sporting CP,3.0
Viktor Gyökeres,45.0,2.0,0.0,0.0,0.0,8.7,Apr,28,FC Porto,Sporting CP,2.0
Gabri Martinez,90.0,0.0,1.0,0.0,0.0,8.0,Aug,29,Rapid Wien,Braga,2.0
Gabri Martinez,90.0,1.0,1.0,0.0,0.0,8.9,Aug,25,Moreirense,Braga,3.0
Gabri Martinez,67.0,0.0,0.0,0.0,0.0,7.3,Aug,22,Rapid Wien,Braga,2.0
Gabri Martinez,3.0,0.0,0.0,0.0,0.0,6.8,Aug,18,Boavista,Braga,1.0
Gabri Martinez,20.0,0.0,0.0,0.0,0.0,6.1,Aug,8,Servette,Braga,0.0
Gabri Martinez,26.0,0.0,0.0,0.0,0.0,6.8,Aug,1,Maccabi Petach Tikva,Braga,5.0
Gabri Martinez,4.0,0.0,0.0,0.0,0.0,6.8,Jul,25,Maccabi Petach Tikva,Braga,2.0
Pedro Goncalves,86.0,0.0,0.0,0.0,0.0,7.7,Aug,23,Farense,Sporting CP,5.0
Pedro Goncalves,90.0,1.0,2.0,0.0,0.0,9.3,Aug,17,Nacional,Sporting CP,6.0
Pedro Goncalves,65.0,2.0,0.0,1.0,0.0,9.2,Aug,9,Rio Ave,Sporting CP,3.0
Pedro Goncalves,101.0,1.0,1.0,0.0,0.0,8.6,Aug,3,FC Porto,Sporting CP,3.0
Pedro Goncalves,91.0,0.0,1.0,0.0,0.0,8.0,May,26,FC Porto,Sporting CP,1.0
Pedro Goncalves,90.0,0.0,0.0,0.0,0.0,7.5,May,18,Chaves,Sporting CP,3.0
Pedro Goncalves,89.0,0.0,0.0,0.0,0.0,8.0,May,11,Estoril,Sporting CP,1.0
Pedro Goncalves,68.0,0.0,0.0,0.0,0.0,7.2,May,4,Portimonense,Sporting CP,3.0
Pedro Goncalves,86.0,0.0,0.0,0.0,0.0,6.8,Apr,28,FC Porto,Sporting CP,2.0
Wenderson Galeno,89.0,1.0,0.0,0.0,0.0,8.6,Aug,24,Rio Ave,FC Porto,2.0
Wenderson Galeno,90.0,1.0,0.0,0.0,0.0,8.3,Aug,16,Santa Clara,FC Porto,2.0
Wenderson Galeno,90.0,1.0,0.0,0.0,0.0,8.5,Aug,10,Gil Vicente,FC Porto,3.0
Wenderson Galeno,120.0,2.0,0.0,0.0,0.0,9.1,Aug,3,Sporting CP,FC Porto,4.0
Wenderson Galeno,120.0,0.0,0.0,0.0,0.0,7.7,May,26,Sporting CP,FC Porto,2.0
Wenderson Galeno,90.0,1.0,0.0,0.0,0.0,8.6,May,18,Braga,FC Porto,1.0
Wenderson Galeno,90.0,0.0,0.0,0.0,0.0,6.8,May,12,Boavista,FC Porto,2.0
Wenderson Galeno,90.0,0.0,0.0,1.0,0.0,6.6,Apr,28,Sporting CP,FC Porto,2.0
Rodrigo Zalazar,53.0,0.0,0.0,0.0,0.0,6.3,Aug,29,Rapid Wien,Braga,2.0
Rodrigo Zalazar,80.0,2.0,0.0,0.0,0.0,9.2,Aug,25,Moreirense,Braga,3.0
Rodrigo Zalazar,90.0,1.0,1.0,0.0,0.0,8.9,Aug,22,Rapid Wien,Braga,2.0
Rodrigo Zalazar,89.0,0.0,1.0,0.0,0.0,8.4,Aug,18,Boavista,Braga,1.0
Rodrigo Zalazar,90.0,0.0,0.0,1.0,0.0,7.5,Aug,15,Servette,Braga,2.0
Rodrigo Zalazar,90.0,0.0,1.0,1.0,0.0,7.7,Aug,11,Estrela da Amadora,Braga,1.0
Rodrigo Zalazar,90.0,0.0,0.0,1.0,0.0,6.7,Aug,8,Servette,Braga,0.0
Rodrigo Zalazar,64.0,1.0,1.0,0.0,0.0,8.2,Aug,1,Maccabi Petach Tikva,Braga,5.0
Rodrigo Zalazar,86.0,1.0,0.0,0.0,0.0,7.5,Jul,25,Maccabi Petach Tikva,Braga,2.0
Rodrigo Zalazar,67.0,0.0,0.0,0.0,0.0,6.3,May,18,FC Porto,Braga,0.0
Trincao,90.0,0.0,0.0,0.0,0.0,8.3,Aug,23,Farense,Sporting CP,5.0
Trincao,85.0,2.0,0.0,0.0,0.0,8.9,Aug,17,Nacional,Sporting CP,6.0
Trincao,76.0,0.0,0.0,0.0,0.0,7.9,Aug,9,Rio Ave,Sporting CP,3.0
Trincao,83.0,0.0,0.0,0.0,0.0,6.7,Aug,3,FC Porto,Sporting CP,3.0
Trincao,71.0,0.0,0.0,0.0,0.0,7.6,May,26,FC Porto,Sporting CP,1.0
Trincao,90.0,0.0,0.0,0.0,0.0,7.3,May,18,Chaves,Sporting CP,3.0
Trincao,90.0,0.0,0.0,0.0,0.0,7.2,May,11,Estoril,Sporting CP,1.0
Trincao,90.0,1.0,0.0,0.0,0.0,8.5,May,4,Portimonense,Sporting CP,3.0
Trincao,90.0,0.0,0.0,0.0,0.0,6.9,Apr,28,FC Porto,Sporting CP,2.0
Zaydou Youssouf,89.0,0.0,0.0,0.0,0.0,7.1,Aug,24,Boavista,Famalicao,1.0
Zaydou Youssouf,90.0,1.0,0.0,0.0,0.0,8.5,Aug,19,Estrela da Amadora,Famalicao,3.0
Zaydou Youssouf,90.0,1.0,0.0,1.0,0.0,8.6,Aug,11,Benfica,Famalicao,2.0
Zaydou Youssouf,90.0,1.0,0.0,0.0,0.0,7.5,May,17,Casa Pia AC,Famalicao,1.0
Zaydou Youssouf,90.0,0.0,0.0,0.0,0.0,7.6,May,10,Chaves,Famalicao,1.0
Zaydou Youssouf,90.0,1.0,0.0,0.0,0.0,7.9,May,5,Benfica,Famalicao,2.0
Zaydou Youssouf,90.0,0.0,0.0,1.0,0.0,7.4,Apr,28,Estoril,Famalicao,0.0
Zaydou Youssouf,90.0,0.0,0.0,0.0,0.0,8.1,Apr,21,Portimonense,Famalicao,2.0
Zaydou Youssouf,90.0,0.0,0.0,0.0,0.0,6.9,Apr,16,Sporting CP,Famalicao,0.0
Ivan Jaime,77.0,0.0,2.0,0.0,0.0,8.4,Aug,24,Rio Ave,FC Porto,2.0
Ivan Jaime,73.0,1.0,0.0,0.0,0.0,7.7,Aug,16,Santa Clara,FC Porto,2.0
Ivan Jaime,83.0,1.0,0.0,0.0,0.0,8.1,Aug,10,Gil Vicente,FC Porto,3.0
Ivan Jaime,57.0,1.0,0.0,0.0,0.0,7.5,Aug,3,Sporting CP,FC Porto,4.0
Ivan Jaime,45.0,0.0,0.0,0.0,0.0,6.1,Apr,13,Famalicao,FC Porto,2.0
Ivan Jaime,34.0,0.0,0.0,0.0,0.0,6.5,Apr,7,Vitoria de Guimaraes,FC Porto,1.0
Ivan Jaime,7.0,0.0,0.0,0.0,0.0,6.9,Apr,3,Vitoria de Guimaraes,FC Porto,1.0
Ivan Jaime,14.0,0.0,0.0,0.0,0.0,6.3,Mar,30,Estoril,FC Porto,0.0
Tiago Gouveia,55.0,0.0,0.0,1.0,0.0,7.4,Aug,24,Estrela da Amadora,Benfica,1.0
Tiago Gouveia,25.0,1.0,1.0,0.0,0.0,8.4,Aug,17,Casa Pia AC,Benfica,3.0
Tiago Gouveia,3.0,0.0,0.0,0.0,0.0,7.2,Aug,11,Famalicao,Benfica,0.0
Tiago Gouveia,27.0,0.0,0.0,0.0,0.0,5.8,May,17,Rio Ave,Benfica,1.0
Tiago Gouveia,25.0,0.0,0.0,0.0,0.0,6.2,May,12,Arouca,Benfica,5.0
Tiago Gouveia,14.0,0.0,0.0,1.0,0.0,6.2,May,5,Famalicao,Benfica,0.0
Tiago Gouveia,1.0,0.0,0.0,0.0,0.0,7.2,Apr,27,Braga,Benfica,3.0
Tiago Gouveia,62.0,0.0,0.0,0.0,0.0,7.0,Apr,22,Farense,Benfica,3.0
Nico González,90.0,1.0,0.0,0.0,0.0,8.1,Aug,24,Rio Ave,FC Porto,2.0
Nico González,68.0,0.0,1.0,1.0,0.0,8.1,Aug,16,Santa Clara,FC Porto,2.0
Nico González,83.0,0.0,0.0,0.0,0.0,7.6,Aug,10,Gil Vicente,FC Porto,3.0
Nico González,75.0,1.0,0.0,1.0,0.0,7.6,Aug,3,Sporting CP,FC Porto,4.0
Nico González,85.0,0.0,0.0,0.0,0.0,7.4,May,26,Sporting CP,FC Porto,2.0
Nico González,76.0,0.0,0.0,0.0,0.0,8.1,May,18,Braga,FC Porto,1.0
Nico González,83.0,0.0,0.0,0.0,0.0,7.1,May,12,Boavista,FC Porto,2.0
