player_names,matchday_details,matchday_stats,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings
Viktor Gyökeres,Apr 21Vitoria de Guimaraes3-0,9020009.0,90,2,0,0,0,9.0
Viktor Gyökeres,Apr 16Famalicao0-1,9000007.1,90,0,0,0,0,7.1
Viktor Gyökeres,Apr 12Gil Vicente0-4,9000007.3,90,0,0,0,0,7.3
Viktor Gyökeres,Apr 6Benfica2-1,9000007.3,90,0,0,0,0,7.3
Viktor Gyökeres,Apr 2Benfica2-2,900100-,90,0,1,0,0,-
Viktor Gyökeres,Mar 29Estrela da Amadora1-2,9000007.4,90,0,0,0,0,7.4
Viktor Gyökeres,Mar 25Albania1-0,00000-,0,0,0,0,0,-
Viktor Gyökeres,Mar 21Portugal5-2,7010007.0,70,1,0,0,0,7.0
Viktor Gyökeres,Mar 17Boavista6-1,9031009.8,90,3,1,0,0,9.8
Viktor Gyökeres,Mar 14Atalanta2-1,9001006.5,90,0,1,0,0,6.5
Viktor Gyökeres,Mar 10Arouca0-3,9011009.1,90,1,1,0,0,9.1
Viktor Gyökeres,Mar 6Atalanta1-1,4500006.4,45,0,0,0,0,6.4
Viktor Gyökeres,Mar 3Farense3-2,9010008.1,90,1,0,0,0,8.1
Viktor Gyökeres,Feb 29Benfica2-1,901000-,90,1,0,0,0,-
Viktor Gyökeres,Feb 25Rio Ave3-3,9010008.2,90,1,0,0,0,8.2
Viktor Gyökeres,Feb 22Young Boys1-1,9010008.2,90,1,0,0,0,8.2
Viktor Gyökeres,Feb 19Moreirense0-2,9000007.5,90,0,0,0,0,7.5
Viktor Gyökeres,Feb 15Young Boys1-3,7410008.4,74,1,0,0,0,8.4
Viktor Gyökeres,Feb 11Braga5-0,8410008.1,84,1,0,0,0,8.1
Viktor Gyökeres,Feb 7Uniao de Leiria0-3,902100-,90,2,1,0,0,-
Gabri Martinez,Jun 2SD Amorebieta1-0,7210107.5,72,1,0,1,0,7.5
Gabri Martinez,May 26Albacete2-2,9001007.6,90,0,1,0,0,7.6
Gabri Martinez,May 17Elche1-1,9000106.3,90,0,0,1,0,6.3
Gabri Martinez,May 11Racing Santander1-0,7100005.7,71,0,0,0,0,5.7
Gabri Martinez,May 4Real Valladolid0-1,80000-,8,0,0,0,0,-
Gabri Martinez,Apr 29Racing de Ferrol0-2,9000106.8,90,0,0,1,0,6.8
Gabri Martinez,Apr 21Burgos CF2-1,9000006.8,90,0,0,0,0,6.8
Gabri Martinez,Apr 14Real Oviedo1-1,8910007.7,89,1,0,0,0,7.7
Gabri Martinez,Mar 30FC Andorra1-0,9000105.9,90,0,0,1,0,5.9
Gabri Martinez,Mar 24Real Zaragoza0-0,9000006.0,90,0,0,0,0,6.0
Gabri Martinez,Mar 17Leganes4-0,2700006.2,27,0,0,0,0,6.2
Gabri Martinez,Mar 9Eldense3-1,41010-,4,1,0,1,0,-
Gabri Martinez,Mar 3Tenerife2-1,4500006.1,45,0,0,0,0,6.1
Gabri Martinez,Feb 26SD Huesca0-3,9000006.3,90,0,0,0,0,6.3
Gabri Martinez,Feb 17Espanyol3-0,9000006.3,90,0,0,0,0,6.3
Gabri Martinez,Feb 11Cartagena1-0,9000006.8,90,0,0,0,0,6.8
Gabri Martinez,Feb 3Villarreal B3-0,9010008.2,90,1,0,0,0,8.2
Gabri Martinez,Jan 26Eibar1-0,9000106.6,90,0,0,1,0,6.6
Gabri Martinez,Jan 21Levante1-1,9000006.7,90,0,0,0,0,6.7
Gabri Martinez,Jan 13Alcorcon0-0,9000106.2,90,0,0,1,0,6.2
Pedro Goncalves,Apr 21Vitoria de Guimaraes3-0,7811008.5,78,1,1,0,0,8.5
Pedro Goncalves,Apr 16Famalicao0-1,6810007.5,68,1,0,0,0,7.5
Pedro Goncalves,Apr 12Gil Vicente0-4,6101008.0,61,0,1,0,0,8.0
Pedro Goncalves,Apr 6Benfica2-1,7200007.1,72,0,0,0,0,7.1
Pedro Goncalves,Mar 14Atalanta2-1,3610007.3,36,1,0,0,0,7.3
Pedro Goncalves,Mar 10Arouca0-3,8900007.2,89,0,0,0,0,7.2
Pedro Goncalves,Mar 3Farense3-2,5411008.7,54,1,1,0,0,8.7
Pedro Goncalves,Feb 29Benfica2-1,921000-,92,1,0,0,0,-
Pedro Goncalves,Feb 25Rio Ave3-3,9000007.0,90,0,0,0,0,7.0
Pedro Goncalves,Feb 22Young Boys1-1,2700006.5,27,0,0,0,0,6.5
Pedro Goncalves,Feb 19Moreirense0-2,8910008.5,89,1,0,0,0,8.5
Pedro Goncalves,Feb 15Young Boys1-3,7401007.9,74,0,1,0,0,7.9
Pedro Goncalves,Feb 11Braga5-0,7502008.6,75,0,2,0,0,8.6
Pedro Goncalves,Feb 7Uniao de Leiria0-3,901000-,90,1,0,0,0,-
Pedro Goncalves,Jan 29Casa Pia AC8-0,4511008.5,45,1,1,0,0,8.5
Pedro Goncalves,Jan 23Braga1-0,900000-,90,0,0,0,0,-
Pedro Goncalves,Jan 18Vizela2-5,8902008.5,89,0,2,0,0,8.5
Pedro Goncalves,Jan 13Chaves0-3,7910008.7,79,1,0,0,0,8.7
Pedro Goncalves,Jan 9Tondela4-0,462000-,46,2,0,0,0,-
Pedro Goncalves,Jan 5Estoril5-1,9010008.8,90,1,0,0,0,8.8
Wenderson Galeno,Apr 21Casa Pia AC1-2,9010008.3,90,1,0,0,0,8.3
Wenderson Galeno,Apr 17Vitoria de Guimaraes3-1,680000-,68,0,0,0,0,-
Wenderson Galeno,Apr 13Famalicao2-2,4501107.7,45,0,1,1,0,7.7
Wenderson Galeno,Apr 7Vitoria de Guimaraes1-2,9010007.0,90,1,0,0,0,7.0
Wenderson Galeno,Apr 3Vitoria de Guimaraes0-1,830000-,83,0,0,0,0,-
Wenderson Galeno,Mar 30Estoril1-0,6700006.6,67,0,0,0,0,6.6
Wenderson Galeno,Mar 26Spain3-3,80000-,8,0,0,0,0,-
Wenderson Galeno,Mar 23England0-1,00000-,0,0,0,0,0,-
Wenderson Galeno,Mar 16Vizela4-1,8500007.1,85,0,0,0,0,7.1
Wenderson Galeno,Mar 12Arsenal5-2,12000006.8,120,0,0,0,0,6.8
Wenderson Galeno,Mar 8Portimonense0-3,8511008.7,85,1,1,0,0,8.7
Wenderson Galeno,Mar 3Benfica5-0,8221009.3,82,2,1,0,0,9.3
Wenderson Galeno,Feb 29Santa Clara1-2,901010-,90,1,0,1,0,-
Wenderson Galeno,Feb 25Gil Vicente1-1,2200006.1,22,0,0,0,0,6.1
Wenderson Galeno,Feb 21Arsenal1-0,9010007.9,90,1,0,0,0,7.9
Wenderson Galeno,Feb 17Estrela da Amadora2-0,7011008.9,70,1,1,0,0,8.9
Wenderson Galeno,Feb 12Arouca3-2,6800007.3,68,0,0,0,0,7.3
Wenderson Galeno,Feb 3Rio Ave0-0,7400106.6,74,0,0,1,0,6.6
Wenderson Galeno,Jan 28Farense1-3,7901008.1,79,0,1,0,0,8.1
Wenderson Galeno,Jan 20Moreirense5-0,9010008.2,90,1,0,0,0,8.2
Rodrigo Zalazar,May 11Vitoria de Guimaraes2-3,8700007.6,87,0,0,0,0,7.6
Rodrigo Zalazar,May 5Casa Pia AC4-3,8310007.2,83,1,0,0,0,7.2
Rodrigo Zalazar,Apr 27Benfica3-1,6400006.9,64,0,0,0,0,6.9
Rodrigo Zalazar,Apr 20Vizela2-1,4520008.4,45,2,0,0,0,8.4
Rodrigo Zalazar,Apr 13Estoril0-1,2000006.0,20,0,0,0,0,6.0
Rodrigo Zalazar,Apr 6Arouca0-3,6400006.3,64,0,0,0,0,6.3
Rodrigo Zalazar,Apr 1Portimonense3-5,7001007.5,70,0,1,0,0,7.5
Rodrigo Zalazar,Mar 16Gil Vicente2-1,7300007.9,73,0,0,0,0,7.9
Rodrigo Zalazar,Mar 9Rio Ave0-0,4500106.6,45,0,0,1,0,6.6
Rodrigo Zalazar,Mar 2Estrela da Amadora3-0,2501007.8,25,0,1,0,0,7.8
Rodrigo Zalazar,Feb 26Boavista0-4,2410007.8,24,1,0,0,0,7.8
Rodrigo Zalazar,Feb 22Qarabag FK2-3,5400007.0,54,0,0,0,0,7.0
Rodrigo Zalazar,Feb 18Farense2-1,6500107.4,65,0,0,1,0,7.4
Rodrigo Zalazar,Feb 15Qarabag FK2-4,6800007.0,68,0,0,0,0,7.0
Rodrigo Zalazar,Feb 11Sporting CP5-0,8300007.1,83,0,0,0,0,7.1
Rodrigo Zalazar,Feb 4Moreirense1-0,8001007.7,80,0,1,0,0,7.7
Rodrigo Zalazar,Jan 31Chaves1-1,9010009.2,90,1,0,0,0,9.2
Rodrigo Zalazar,Jan 27Estoril6-5,670100-,67,0,1,0,0,-
Rodrigo Zalazar,Jan 23Sporting CP1-0,870100-,87,0,1,0,0,-
Rodrigo Zalazar,Jan 18Famalicao1-2,4501007.6,45,0,1,0,0,7.6
Trincao,Apr 21Vitoria de Guimaraes3-0,7801107.7,78,0,1,1,0,7.7
Trincao,Apr 16Famalicao0-1,9001008.6,90,0,1,0,0,8.6
Trincao,Apr 12Gil Vicente0-4,7020009.1,70,2,0,0,0,9.1
Trincao,Apr 6Benfica2-1,8000007.4,80,0,0,0,0,7.4
Trincao,Apr 2Benfica2-2,900000-,90,0,0,0,0,-
Trincao,Mar 29Estrela da Amadora1-2,9001008.3,90,0,1,0,0,8.3
Trincao,Mar 17Boavista6-1,8400006.9,84,0,0,0,0,6.9
