player_name,team,Height,Age,Market value,Primary,Touches,Shot attempts,Goals,Chances created,Aerial duels won,Defensive actions
Viktor Gyökeres,Sporting CP,187,26,66000000.0,Striker,95,95,99,97,46,16
Gabri Martinez,Braga,185,21,8000000.0,Left Winger,28,53,59,11,24,36
Pedro Goncalves,Sporting CP,173,26,33000000.0,Left Winger,88,97,96,98,8,20
Wenderson Galeno,FC Porto,179,26,22000000.0,Left Winger,69,89,98,58,60,53
Rodrigo Zalazar,Braga,178,25,3400000.0,Defensive Midfielder,93,96,97,98,60,14
Trincao,Sporting CP,183,24,16000000.0,Right Winger,69,86,88,70,4,37
Zaydou Youssouf,Famalicao,178,25,3200000.0,Defensive Midfielder,56,49,72,54,19,61
Ivan Jaime,FC Porto,180,23,5100000.0,Left Winger,88,78,92,68,33,51
Tiago Gouveia,Benfica,176,23,4000000.0,Left Winger,94,76,89,83,6,92
Nico González,FC Porto,188,22,11000000.0,Defensive Midfielder,80,83,92,61,93,53
Antonio Silva,Benfica,187,20,55000000.0,Center-back,75,32,58,24,25,28
Andre Horta,Braga,175,27,5400000.0,Defensive Midfielder,98,95,85,92,1,21
Geovany Quenda,Sporting CP,172,17,0.0,Right Midfielder,0,0,0,0,0,0
Enea Mihaj,Famalicao,186,26,1800000.0,Center-back,57,4,0,36,13,54
Adrián Marin,Braga,177,27,2000000.0,Left-back,96,5,80,70,92,42
Luis Asué,Moreirense,184,23,450000.0,Striker,43,35,12,7,63,92
Tomas Araujo,Benfica,187,22,7500000.0,Center-back,93,70,84,96,67,59
Pedro Ferreira,Santa Clara,183,26,650000.0,Central Midfielder,53,3,77,10,16,100
Morten Hjulmand,Sporting CP,185,25,45000000.0,Central Midfielder,91,41,62,47,34,71
Alexander Bah,Benfica,183,26,18000000.0,Right-back,96,46,68,45,82,80
Matheus Nunes,Santa Clara,185,23,500000.0,Left Midfielder,0,0,0,0,0,0
Ze Pedro,FC Porto,187,27,2800000.0,Center-back,93,64,92,51,67,11
Kanya Fujimoto,Gil Vicente,176,25,2200000.0,Attacking Midfielder,39,13,40,30,27,29
Daniel Braganca,Sporting CP,169,25,5100000.0,Central Midfielder,83,86,88,57,36,70
Francisco Moura,FC Porto,181,25,5200000.0,Left-back,45,20,43,99,42,33
Tiago Silva,Vitoria de Guimaraes,170,31,1600000.0,Central Midfielder,76,59,73,97,12,21
Calegari,Famalicao,171,22,4200000.0,Right-back,84,5,0,0,42,95
Goncalo Inacio,Sporting CP,186,23,44000000.0,Center-back,100,82,96,66,35,9
John Mercado,AVS Futebol SAD,185,22,45000.0,Left Winger,2,85,81,51,85,40
Hidemasa Morita,Sporting CP,177,29,11000000.0,Central Midfielder,79,53,54,67,54,34
Alan Varela,FC Porto,177,23,17000000.0,Defensive Midfielder,93,55,39,49,41,52
Mirko Topic,Famalicao,190,23,3000000.0,Defensive Midfielder,58,43,0,26,75,71
Joao Moutinho,Braga,170,38,850000.0,Defensive Midfielder,99,14,48,87,55,77
Miguel Reisinho,Boavista,183,25,220000.0,Attacking Midfielder,53,3,35,5,97,100
Otavio,FC Porto,187,22,16300000.0,Center-back,83,80,70,76,11,24
Baptiste Roux,AVS Futebol SAD,190,24,0.0,Central Midfielder,34,70,0,91,79,55
Nicolás Otamendi,Benfica,183,36,900000.0,Center-back,85,96,77,72,63,47
Geny Catamo,Sporting CP,174,23,2500000.0,Right Midfielder,49,78,97,50,6,3
Issiar Drame,Estrela da Amadora,197,25,0.0,Center-back,7,50,73,5,24,50
Justin De Haas,Famalicao,194,24,650000.0,Center-back,60,97,60,10,67,67
Vangelis Pavlidis,Benfica,180,25,24000000.0,Striker,96,90,95,89,49,47
Felix Correia,Gil Vicente,178,23,1300000.0,Left Winger,56,21,40,58,38,55
Cristo González,Arouca,180,26,1600000.0,Attacking Midfielder,36,100,91,75,32,5
Ruben Ramos,Moreirense,184,25,0.0,Defensive Midfielder,52,1,0,9,45,92
Ousmane Diomande,Sporting CP,190,20,45000000.0,Center-back,82,78,89,44,34,3
Ricardo Horta,Braga,173,29,18000000.0,Attacking Midfielder,69,71,68,85,12,16
David Simao,Arouca,183,34,300000.0,Defensive Midfielder,96,11,28,75,38,47
Sorriso,Famalicao,176,23,1600000.0,Left Winger,61,47,67,43,78,91
Alan,Moreirense,163,24,760000.0,Attacking Midfielder,80,22,19,97,4,72
Mory Gbane,Gil Vicente,188,23,830000.0,Central Midfielder,51,41,34,2,96,98
Kiki Afonso,AVS Futebol SAD,181,29,620000.0,Left-back,5,88,94,67,29,31
Lucas Piazon,AVS Futebol SAD,183,30,1200000.0,Central Midfielder,0,0,0,0,0,0
Gustavo Sa,Famalicao,186,19,3500000.0,Attacking Midfielder,58,28,36,51,94,96
Dinis Pinto,Moreirense,178,24,800000.0,Right-back,22,23,0,13,10,57
Florentino Luis,Benfica,184,25,22000000.0,Defensive Midfielder,98,9,0,17,73,97
Orkun Kökcü,Benfica,175,23,30000000.0,Defensive Midfielder,92,95,90,97,7,10
Madson,Moreirense,164,25,0.0,Right Winger,29,86,71,47,75,37
Carvalho,Braga,183,27,4500000.0,Defensive Midfielder,89,63,58,27,87,92
Álvaro Fernández,Benfica,186,21,7300000.0,Left-back,97,84,64,91,87,68
Beni,Casa Pia AC,180,22,530000.0,Central Midfielder,64,0,0,15,51,65
Sidney Lima,Santa Clara,182,27,520000.0,Center-back,0,0,0,0,0,0
Bright Arrey-Mbi,Braga,187,21,2700000.0,Center-back,37,14,0,23,13,39
Tomas Handel,Vitoria de Guimaraes,180,23,2600000.0,Central Midfielder,29,34,57,46,49,20
Joao Mendes,Vitoria de Guimaraes,179,24,820000.0,Left-back,30,17,0,21,11,2
Martim Fernandes,FC Porto,181,18,50000.0,Right-back,56,18,0,74,50,73
Ze Carlos,Gil Vicente,177,26,820000.0,Right-back,73,42,57,32,57,90
Godfried Frimpong,Moreirense,180,25,330000.0,Left-back,53,0,0,65,32,91
