player_names,matchday_details,matchday_stats,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings
Viktor Gyökeres,,,,,,,,
Viktor Gyökeres,Aug 31FC Porto2-0,9010008.6,90,1,0,0,0,8.6
Viktor Gyökeres,Aug 23Farense0-5,9030009.7,90,3,0,0,0,9.7
Viktor Gyökeres,Aug 17Nacional1-6,9020009.2,90,2,0,0,0,9.2
Viktor Gyökeres,Aug 9Rio Ave3-1,9011008.5,90,1,1,0,0,8.5
Viktor Gyökeres,Aug 3FC Porto3-4,12002008.4,120,0,2,0,0,8.4
Viktor Gyökeres,May 26FC Porto2-1,1200010-,120,0,0,1,0,-
Viktor Gyökeres,May 18Chaves3-0,9020009.0,90,2,0,0,0,9.0
Viktor Gyökeres,May 11Estoril0-1,9000007.2,90,0,0,0,0,7.2
Viktor Gyökeres,May 4Portimonense3-0,9010007.9,90,1,0,0,0,7.9
Viktor Gyökeres,Apr 28FC Porto2-2,4520008.7,45,2,0,0,0,8.7
Gabri Martinez,,,,,,,,
Gabri Martinez,Sep 1Gil Vicente0-0,9000007.1,90,0,0,0,0,7.1
Gabri Martinez,Aug 29Rapid Wien2-2,9001008.0,90,0,1,0,0,8.0
Gabri Martinez,Aug 25Moreirense3-1,9011008.9,90,1,1,0,0,8.9
Gabri Martinez,Aug 22Rapid Wien2-1,6700007.3,67,0,0,0,0,7.3
Gabri Martinez,Aug 18Boavista0-1,30000-,3,0,0,0,0,-
Gabri Martinez,Aug 15Servette1-2,00000-,0,0,0,0,0,-
Gabri Martinez,Aug 11Estrela da Amadora1-1,00000-,0,0,0,0,0,-
Gabri Martinez,Aug 8Servette0-0,2000006.1,20,0,0,0,0,6.1
Gabri Martinez,Aug 1Maccabi Petach Tikva0-5,260000-,26,0,0,0,0,-
Gabri Martinez,Jul 25Maccabi Petach Tikva2-0,40000-,4,0,0,0,0,-
Pedro Goncalves,,,,,,,,
Pedro Goncalves,Aug 31FC Porto2-0,9001008.4,90,0,1,0,0,8.4
Pedro Goncalves,Aug 23Farense0-5,8600007.7,86,0,0,0,0,7.7
Pedro Goncalves,Aug 17Nacional1-6,9012009.3,90,1,2,0,0,9.3
Pedro Goncalves,Aug 9Rio Ave3-1,6520109.2,65,2,0,1,0,9.2
Pedro Goncalves,Aug 3FC Porto3-4,10111008.6,101,1,1,0,0,8.6
Pedro Goncalves,May 26FC Porto2-1,910100-,91,0,1,0,0,-
Pedro Goncalves,May 18Chaves3-0,9000007.5,90,0,0,0,0,7.5
Pedro Goncalves,May 11Estoril0-1,8900008.0,89,0,0,0,0,8.0
Pedro Goncalves,May 4Portimonense3-0,6800007.2,68,0,0,0,0,7.2
Pedro Goncalves,Apr 28FC Porto2-2,8600006.8,86,0,0,0,0,6.8
Wenderson Galeno,,,,,,,,
Wenderson Galeno,Aug 31Sporting CP2-0,9000006.9,90,0,0,0,0,6.9
Wenderson Galeno,Aug 24Rio Ave2-0,8910008.6,89,1,0,0,0,8.6
Wenderson Galeno,Aug 16Santa Clara0-2,9010008.3,90,1,0,0,0,8.3
Wenderson Galeno,Aug 10Gil Vicente3-0,9010008.5,90,1,0,0,0,8.5
Wenderson Galeno,Aug 3Sporting CP3-4,12020009.1,120,2,0,0,0,9.1
Wenderson Galeno,Jul 28Al Nassr FC4-0,2500006.0,25,0,0,0,0,6.0
Wenderson Galeno,May 26Sporting CP2-1,1200000-,120,0,0,0,0,-
Wenderson Galeno,May 18Braga0-1,9010008.6,90,1,0,0,0,8.6
Wenderson Galeno,May 12Boavista2-1,9000006.8,90,0,0,0,0,6.8
Wenderson Galeno,Apr 28Sporting CP2-2,9000106.6,90,0,0,1,0,6.6
Rodrigo Zalazar,,,,,,,,
Rodrigo Zalazar,Aug 29Rapid Wien2-2,5300006.3,53,0,0,0,0,6.3
Rodrigo Zalazar,Aug 25Moreirense3-1,8020009.2,80,2,0,0,0,9.2
Rodrigo Zalazar,Aug 22Rapid Wien2-1,9011008.9,90,1,1,0,0,8.9
Rodrigo Zalazar,Aug 18Boavista0-1,8901008.4,89,0,1,0,0,8.4
Rodrigo Zalazar,Aug 15Servette1-2,9000107.5,90,0,0,1,0,7.5
Rodrigo Zalazar,Aug 11Estrela da Amadora1-1,9001107.7,90,0,1,1,0,7.7
Rodrigo Zalazar,Aug 8Servette0-0,9000106.7,90,0,0,1,0,6.7
Rodrigo Zalazar,Aug 1Maccabi Petach Tikva0-5,6411008.2,64,1,1,0,0,8.2
Rodrigo Zalazar,Jul 25Maccabi Petach Tikva2-0,8610007.5,86,1,0,0,0,7.5
Rodrigo Zalazar,May 18FC Porto0-1,6700006.3,67,0,0,0,0,6.3
Trincao,,,,,,,,
Trincao,Aug 31FC Porto2-0,8900007.1,89,0,0,0,0,7.1
Trincao,Aug 23Farense0-5,9000008.3,90,0,0,0,0,8.3
Trincao,Aug 17Nacional1-6,8520008.9,85,2,0,0,0,8.9
Trincao,Aug 9Rio Ave3-1,7600007.9,76,0,0,0,0,7.9
Trincao,Aug 3FC Porto3-4,8300006.7,83,0,0,0,0,6.7
Trincao,May 26FC Porto2-1,710000-,71,0,0,0,0,-
Trincao,May 18Chaves3-0,9000007.3,90,0,0,0,0,7.3
Trincao,May 11Estoril0-1,9000007.2,90,0,0,0,0,7.2
Trincao,May 4Portimonense3-0,9010008.5,90,1,0,0,0,8.5
Trincao,Apr 28FC Porto2-2,9000006.9,90,0,0,0,0,6.9
Zaydou Youssouf,,,,,,,,
Zaydou Youssouf,Sep 1Vitoria de Guimaraes2-1,7800105.9,78,0,0,1,0,5.9
Zaydou Youssouf,Aug 24Boavista1-0,8900007.1,89,0,0,0,0,7.1
Zaydou Youssouf,Aug 19Estrela da Amadora0-3,9010008.5,90,1,0,0,0,8.5
Zaydou Youssouf,Aug 11Benfica2-0,9010108.6,90,1,0,1,0,8.6
Zaydou Youssouf,May 17Casa Pia AC1-2,9010007.5,90,1,0,0,0,7.5
Zaydou Youssouf,May 10Chaves0-1,9000007.6,90,0,0,0,0,7.6
Zaydou Youssouf,May 5Benfica2-0,9010007.9,90,1,0,0,0,7.9
Zaydou Youssouf,Apr 28Estoril1-0,9000107.4,90,0,0,1,0,7.4
