player_names,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings,Month,Day,Opponent
Viktor Gyökeres,90.0,1.0,0.0,0.0,0.0,8.6,Aug,31,FC Porto
Viktor Gyökeres,90.0,3.0,0.0,0.0,0.0,9.7,Aug,23,Farense
Viktor Gyökeres,90.0,2.0,0.0,0.0,0.0,9.2,Aug,17,Nacional
Viktor Gyökeres,90.0,1.0,1.0,0.0,0.0,8.5,Aug,9,Rio Ave
Viktor Gyökeres,120.0,0.0,2.0,0.0,0.0,8.4,Aug,3,FC Porto
Viktor Gyökeres,120.0,0.0,0.0,1.0,0.0,8.1,May,26,FC Porto
Viktor Gyökeres,90.0,2.0,0.0,0.0,0.0,9.0,May,18,Chaves
Viktor Gyökeres,90.0,0.0,0.0,0.0,0.0,7.2,May,11,Estoril
Viktor Gyökeres,90.0,1.0,0.0,0.0,0.0,7.9,May,4,Portimonense
Viktor Gyökeres,45.0,2.0,0.0,0.0,0.0,8.7,Apr,28,FC Porto
Gabri Martinez,90.0,0.0,0.0,0.0,0.0,7.1,Sep,1,Gil Vicente
Gabri Martinez,90.0,0.0,1.0,0.0,0.0,8.0,Aug,29,Rapid Wien
Gabri Martinez,90.0,1.0,1.0,0.0,0.0,8.9,Aug,25,Moreirense
Gabri Martinez,67.0,0.0,0.0,0.0,0.0,7.3,Aug,22,Rapid Wien
Gabri Martinez,3.0,0.0,0.0,0.0,0.0,6.8,Aug,18,Boavista
Gabri Martinez,20.0,0.0,0.0,0.0,0.0,6.1,Aug,8,Servette
Gabri Martinez,26.0,0.0,0.0,0.0,0.0,6.8,Aug,1,Maccabi Petach Tikva
Gabri Martinez,4.0,0.0,0.0,0.0,0.0,6.8,Jul,25,Maccabi Petach Tikva
Pedro Goncalves,90.0,0.0,1.0,0.0,0.0,8.4,Aug,31,FC Porto
Pedro Goncalves,86.0,0.0,0.0,0.0,0.0,7.7,Aug,23,Farense
Pedro Goncalves,90.0,1.0,2.0,0.0,0.0,9.3,Aug,17,Nacional
Pedro Goncalves,65.0,2.0,0.0,1.0,0.0,9.2,Aug,9,Rio Ave
Pedro Goncalves,101.0,1.0,1.0,0.0,0.0,8.6,Aug,3,FC Porto
Pedro Goncalves,91.0,0.0,1.0,0.0,0.0,8.0,May,26,FC Porto
Pedro Goncalves,90.0,0.0,0.0,0.0,0.0,7.5,May,18,Chaves
Pedro Goncalves,89.0,0.0,0.0,0.0,0.0,8.0,May,11,Estoril
Pedro Goncalves,68.0,0.0,0.0,0.0,0.0,7.2,May,4,Portimonense
Pedro Goncalves,86.0,0.0,0.0,0.0,0.0,6.8,Apr,28,FC Porto
Wenderson Galeno,90.0,0.0,0.0,0.0,0.0,6.9,Aug,31,Sporting CP
Wenderson Galeno,89.0,1.0,0.0,0.0,0.0,8.6,Aug,24,Rio Ave
Wenderson Galeno,90.0,1.0,0.0,0.0,0.0,8.3,Aug,16,Santa Clara
Wenderson Galeno,90.0,1.0,0.0,0.0,0.0,8.5,Aug,10,Gil Vicente
Wenderson Galeno,120.0,2.0,0.0,0.0,0.0,9.1,Aug,3,Sporting CP
Wenderson Galeno,25.0,0.0,0.0,0.0,0.0,6.0,Jul,28,Al Nassr FC
Wenderson Galeno,120.0,0.0,0.0,0.0,0.0,7.7,May,26,Sporting CP
Wenderson Galeno,90.0,1.0,0.0,0.0,0.0,8.6,May,18,Braga
Wenderson Galeno,90.0,0.0,0.0,0.0,0.0,6.8,May,12,Boavista
Wenderson Galeno,90.0,0.0,0.0,1.0,0.0,6.6,Apr,28,Sporting CP
Rodrigo Zalazar,53.0,0.0,0.0,0.0,0.0,6.3,Aug,29,Rapid Wien
Rodrigo Zalazar,80.0,2.0,0.0,0.0,0.0,9.2,Aug,25,Moreirense
Rodrigo Zalazar,90.0,1.0,1.0,0.0,0.0,8.9,Aug,22,Rapid Wien
Rodrigo Zalazar,89.0,0.0,1.0,0.0,0.0,8.4,Aug,18,Boavista
Rodrigo Zalazar,90.0,0.0,0.0,1.0,0.0,7.5,Aug,15,Servette
Rodrigo Zalazar,90.0,0.0,1.0,1.0,0.0,7.7,Aug,11,Estrela da Amadora
Rodrigo Zalazar,90.0,0.0,0.0,1.0,0.0,6.7,Aug,8,Servette
Rodrigo Zalazar,64.0,1.0,1.0,0.0,0.0,8.2,Aug,1,Maccabi Petach Tikva
Rodrigo Zalazar,86.0,1.0,0.0,0.0,0.0,7.5,Jul,25,Maccabi Petach Tikva
Rodrigo Zalazar,67.0,0.0,0.0,0.0,0.0,6.3,May,18,FC Porto
Trincao,89.0,0.0,0.0,0.0,0.0,7.1,Aug,31,FC Porto
Trincao,90.0,0.0,0.0,0.0,0.0,8.3,Aug,23,Farense
Trincao,85.0,2.0,0.0,0.0,0.0,8.9,Aug,17,Nacional
Trincao,76.0,0.0,0.0,0.0,0.0,7.9,Aug,9,Rio Ave
Trincao,83.0,0.0,0.0,0.0,0.0,6.7,Aug,3,FC Porto
Trincao,71.0,0.0,0.0,0.0,0.0,7.6,May,26,FC Porto
Trincao,90.0,0.0,0.0,0.0,0.0,7.3,May,18,Chaves
Trincao,90.0,0.0,0.0,0.0,0.0,7.2,May,11,Estoril
Trincao,90.0,1.0,0.0,0.0,0.0,8.5,May,4,Portimonense
Trincao,90.0,0.0,0.0,0.0,0.0,6.9,Apr,28,FC Porto
Zaydou Youssouf,78.0,0.0,0.0,1.0,0.0,5.9,Sep,1,Vitoria de Guimaraes
Zaydou Youssouf,89.0,0.0,0.0,0.0,0.0,7.1,Aug,24,Boavista
Zaydou Youssouf,90.0,1.0,0.0,0.0,0.0,8.5,Aug,19,Estrela da Amadora
Zaydou Youssouf,90.0,1.0,0.0,1.0,0.0,8.6,Aug,11,Benfica
Zaydou Youssouf,90.0,1.0,0.0,0.0,0.0,7.5,May,17,Casa Pia AC
Zaydou Youssouf,90.0,0.0,0.0,0.0,0.0,7.6,May,10,Chaves
Zaydou Youssouf,90.0,1.0,0.0,0.0,0.0,7.9,May,5,Benfica
Zaydou Youssouf,90.0,0.0,0.0,1.0,0.0,7.4,Apr,28,Estoril
Zaydou Youssouf,90.0,0.0,0.0,0.0,0.0,8.1,Apr,21,Portimonense
Zaydou Youssouf,90.0,0.0,0.0,0.0,0.0,6.9,Apr,16,Sporting CP
Ivan Jaime,73.0,0.0,0.0,0.0,0.0,6.9,Aug,31,Sporting CP
Ivan Jaime,77.0,0.0,2.0,0.0,0.0,8.4,Aug,24,Rio Ave
Ivan Jaime,73.0,1.0,0.0,0.0,0.0,7.7,Aug,16,Santa Clara
Ivan Jaime,83.0,1.0,0.0,0.0,0.0,8.1,Aug,10,Gil Vicente
Ivan Jaime,57.0,1.0,0.0,0.0,0.0,7.5,Aug,3,Sporting CP
Ivan Jaime,64.0,1.0,0.0,0.0,0.0,8.3,Jul,28,Al Nassr FC
Ivan Jaime,45.0,0.0,0.0,0.0,0.0,6.1,Apr,13,Famalicao
Ivan Jaime,34.0,0.0,0.0,0.0,0.0,6.5,Apr,7,Vitoria de Guimaraes
Ivan Jaime,7.0,0.0,0.0,0.0,0.0,6.9,Apr,3,Vitoria de Guimaraes
Ivan Jaime,14.0,0.0,0.0,0.0,0.0,6.3,Mar,30,Estoril
Tiago Gouveia,55.0,0.0,0.0,1.0,0.0,7.4,Aug,24,Estrela da Amadora
Tiago Gouveia,25.0,1.0,1.0,0.0,0.0,8.4,Aug,17,Casa Pia AC
Tiago Gouveia,3.0,0.0,0.0,0.0,0.0,7.2,Aug,11,Famalicao
Tiago Gouveia,25.0,0.0,1.0,0.0,0.0,7.5,Jul,28,Feyenoord
Tiago Gouveia,27.0,0.0,0.0,0.0,0.0,5.8,May,17,Rio Ave
Tiago Gouveia,25.0,0.0,0.0,0.0,0.0,6.2,May,12,Arouca
Tiago Gouveia,14.0,0.0,0.0,1.0,0.0,6.2,May,5,Famalicao
Tiago Gouveia,1.0,0.0,0.0,0.0,0.0,7.2,Apr,27,Braga
Tiago Gouveia,62.0,0.0,0.0,0.0,0.0,7.0,Apr,22,Farense
Nico González,90.0,0.0,0.0,1.0,0.0,6.1,Aug,31,Sporting CP
Nico González,90.0,1.0,0.0,0.0,0.0,8.1,Aug,24,Rio Ave
Nico González,68.0,0.0,1.0,1.0,0.0,8.1,Aug,16,Santa Clara
Nico González,83.0,0.0,0.0,0.0,0.0,7.6,Aug,10,Gil Vicente
Nico González,75.0,1.0,0.0,1.0,0.0,7.6,Aug,3,Sporting CP
Nico González,64.0,2.0,0.0,0.0,0.0,8.8,Jul,28,Al Nassr FC
Nico González,85.0,0.0,0.0,0.0,0.0,7.4,May,26,Sporting CP
Nico González,76.0,0.0,0.0,0.0,0.0,8.1,May,18,Braga
Nico González,83.0,0.0,0.0,0.0,0.0,7.1,May,12,Boavista
