player_name,team,bio_stat,positions,traits,liga_25_stats,season_performance
Viktor Gyökeres,Sporting CP,"187 cmHeight9Shirt26 yearsJun 4, 1998RightPreferred footSwedenCountry€66MMarket value",PositionPrimaryStrikerST,Touches95%Shot attempts95%Goals99%Chances created97%Aerial duels won46%Defensive actions16%,7Goals1Assists4Started4Matches360Minutes played9.01Rating0Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals7Expected goals (xG)7.02xG on target (xGOT)6.05Penalty goals3Non-penalty xG4.65Shots26Shots on target13PassingAssists1Expected assists (xA)1.26Successful passes70Pass accuracy77.8%Accurate long balls1Long ball accuracy33.3%Chances created9PossessionSuccessful dribbles9Dribble success39.1%Touches186Touches in opposition box55Dispossessed11Fouls won14Penalties awarded1DefendingTackles won1Tackles won %100.0%Duels won26Duels won %41.3%Aerial duels won2Aerial duels won %25.0%Blocked7Fouls committed6Recoveries16Possession won final 3rd6DisciplineYellow cards0Red cards0
Gabri Martinez,Braga,"185 cmHeight77Shirt21 yearsJan 22, 2003RightPreferred footSpainCountry€8MMarket value","PositionPrimaryLeft WingerOthersLeft Midfielder, Right Winger, Attacking Midfielder, StrikerLMRWLWAMST",Touches28%Shot attempts53%Goals59%Chances created11%Aerial duels won24%Defensive actions36%,1Goals1Assists2Started3Matches183Minutes played8.01Rating0Yellow cards0Red cards,Season performanceMinutes played: 183TotalPer 90ShootingRankGoals1Expected goals (xG)0.32xG on target (xGOT)0.70Non-penalty xG0.32Shots4Shots on target2PassingAssists1Expected assists (xA)0.68Successful passes75Pass accuracy81.5%Accurate long balls4Long ball accuracy66.7%Chances created4PossessionSuccessful dribbles4Dribble success40.0%Touches140Touches in opposition box17Dispossessed5Fouls won3DefendingTackles won4Tackles won %80.0%Duels won12Duels won %40.0%Interceptions1Fouls committed2Recoveries9Possession won final 3rd1Dribbled past4DisciplineYellow cards0Red cards0
Pedro Goncalves,Sporting CP,"173 cmHeight8Shirt26 yearsJun 28, 1998RightPreferred footPortugalCountry€33MMarket value","PositionPrimaryLeft WingerOthersCentral Midfielder, Attacking MidfielderCMAMLW",Touches88%Shot attempts97%Goals96%Chances created98%Aerial duels won8%Defensive actions20%,3Goals3Assists4Started4Matches331Minutes played8.66Rating1Yellow cards0Red cards,Season performanceMinutes played: 331TotalPer 90ShootingRankGoals3Expected goals (xG)1.38xG on target (xGOT)1.21Non-penalty xG1.38Shots17Shots on target4PassingAssists3Expected assists (xA)2.44Successful passes103Pass accuracy81.1%Accurate long balls6Long ball accuracy66.7%Chances created26Successful crosses8Cross accuracy53.3%PossessionSuccessful dribbles5Dribble success27.8%Touches221Touches in opposition box25Dispossessed5Fouls won4DefendingTackles won1Tackles won %16.7%Duels won15Duels won %33.3%Interceptions2Blocked9Fouls committed4Recoveries17Possession won final 3rd4Dribbled past5DisciplineYellow cards1Red cards0
Wenderson Galeno,FC Porto,"179 cmHeight13Shirt26 yearsOct 22, 1997RightPreferred footBrazilCountry€22MMarket value","PositionPrimaryLeft WingerOthersLeft-back, Left MidfielderLBLMLW",Touches69%Shot attempts89%Goals98%Chances created58%Aerial duels won60%Defensive actions53%,3Goals0Assists4Started4Matches359Minutes played8.07Rating0Yellow cards0Red cards,Season performanceMinutes played: 359TotalPer 90ShootingRankGoals3Expected goals (xG)2.64xG on target (xGOT)3.10Penalty goals2Non-penalty xG1.07Shots11Shots on target8PassingAssists0Expected assists (xA)0.78Successful passes150Pass accuracy86.2%Accurate long balls10Long ball accuracy58.8%Chances created3Successful crosses1Cross accuracy20.0%PossessionSuccessful dribbles7Dribble success63.6%Touches286Touches in opposition box9Dispossessed3Fouls won6DefendingTackles won2Tackles won %33.3%Duels won20Duels won %52.6%Aerial duels won1Aerial duels won %16.7%Interceptions7Blocked2Fouls committed6Recoveries20Possession won final 3rd3Dribbled past1DisciplineYellow cards0Red cards0
Rodrigo Zalazar,Braga,"178 cmHeight16Shirt25 yearsAug 12, 1999RightPreferred footUruguayCountry€3.4MMarket value","PositionPrimaryDefensive MidfielderOthersCentral Midfielder, Right Winger, Attacking MidfielderDMCMRWAM",Touches93%Shot attempts96%Goals97%Chances created98%Aerial duels won60%Defensive actions14%,2Goals2Assists3Started3Matches259Minutes played8.44Rating1Yellow cards0Red cards,Season performanceMinutes played: 259TotalPer 90ShootingRankGoals2Expected goals (xG)1.07xG on target (xGOT)0.85Non-penalty xG1.07Shots12Shots on target3PassingAssists2Expected assists (xA)1.03Successful passes106Pass accuracy85.5%Accurate long balls8Long ball accuracy72.7%Chances created8Successful crosses8Cross accuracy28.6%PossessionSuccessful dribbles6Dribble success54.5%Touches217Touches in opposition box17Dispossessed3Fouls won6DefendingTackles won2Tackles won %66.7%Duels won19Duels won %59.4%Aerial duels won4Aerial duels won %80.0%Blocked4Fouls committed2Recoveries13Possession won final 3rd2Dribbled past2DisciplineYellow cards1Red cards0
Trincao,Sporting CP,"183 cmHeight17Shirt24 yearsDec 29, 1999LeftPreferred footPortugalCountry€16MMarket value","PositionPrimaryRight WingerOthersAttacking Midfielder, Left WingerAMRWLW",Touches69%Shot attempts86%Goals88%Chances created70%Aerial duels won4%Defensive actions37%,2Goals0Assists4Started4Matches340Minutes played8.06Rating0Yellow cards0Red cards,Season performanceMinutes played: 340TotalPer 90ShootingRankGoals2Expected goals (xG)2.08xG on target (xGOT)2.11Non-penalty xG2.08Shots14Shots on target5PassingAssists0Expected assists (xA)0.54Successful passes83Pass accuracy76.9%Accurate long balls4Long ball accuracy80.0%Chances created8PossessionSuccessful dribbles10Dribble success76.9%Touches176Touches in opposition box18Dispossessed5Fouls won9DefendingTackles won6Tackles won %100.0%Duels won25Duels won %67.6%Blocked4Fouls committed2Recoveries6Possession won final 3rd1Dribbled past2DisciplineYellow cards0Red cards0
Zaydou Youssouf,Famalicao,"178 cmHeight28Shirt25 yearsJul 11, 1999LeftPreferred footFranceCountry€3.2MMarket value",PositionPrimaryDefensive MidfielderOthersCentral MidfielderDMCM,Touches56%Shot attempts49%Goals72%Chances created54%Aerial duels won19%Defensive actions61%,2Goals0Assists4Started4Matches347Minutes played7.54Rating2Yellow cards0Red cards,Season performanceMinutes played: 347TotalPer 90ShootingRankGoals2Expected goals (xG)0.68xG on target (xGOT)2.13Non-penalty xG0.68Shots5Shots on target4PassingAssists0Expected assists (xA)0.34Successful passes138Pass accuracy87.3%Accurate long balls24Long ball accuracy77.4%Chances created2Successful crosses2Cross accuracy40.0%PossessionSuccessful dribbles7Dribble success63.6%Touches230Touches in opposition box3Dispossessed7Fouls won7DefendingTackles won7Tackles won %87.5%Duels won24Duels won %51.1%Aerial duels won2Aerial duels won %100.0%Interceptions4Fouls committed9Recoveries21Dribbled past3DisciplineYellow cards2Red cards0
Ivan Jaime,FC Porto,"180 cmHeight17Shirt23 yearsSep 26, 2000RightPreferred footSpainCountry€5.1MMarket value","PositionPrimaryLeft WingerOthersRight Winger, Attacking MidfielderRWAMLW",Touches88%Shot attempts78%Goals92%Chances created68%Aerial duels won33%Defensive actions51%,2Goals2Assists4Started4Matches306Minutes played7.78Rating0Yellow cards0Red cards,Season performanceMinutes played: 306TotalPer 90ShootingRankGoals2Expected goals (xG)0.77xG on target (xGOT)1.13Non-penalty xG0.77Shots9Shots on target4PassingAssists2Expected assists (xA)0.51Successful passes86Pass accuracy87.8%Chances created6Successful crosses2Cross accuracy40.0%PossessionSuccessful dribbles5Dribble success45.5%Touches166Touches in opposition box16Dispossessed9Fouls won5DefendingTackles won1Tackles won %100.0%Duels won12Duels won %36.4%Aerial duels won2Aerial duels won %66.7%Interceptions2Blocked2Fouls committed4Recoveries11Possession won final 3rd1Dribbled past1DisciplineYellow cards0Red cards0
Tiago Gouveia,Benfica,"176 cmHeight47Shirt23 yearsJun 18, 2001RightPreferred footPortugalCountry€4MMarket value",PositionPrimaryLeft WingerLW,Touches94%Shot attempts76%Goals89%Chances created83%Aerial duels won6%Defensive actions92%,1Goals1Assists0Started3Matches83Minutes played7.90Rating1Yellow cards0Red cards,
Nico González,FC Porto,"188 cmHeight16Shirt22 yearsJan 3, 2002RightPreferred footSpainCountry€11MMarket value","PositionPrimaryDefensive MidfielderOthersCentral Midfielder, Attacking MidfielderDMCMAM",Touches80%Shot attempts83%Goals92%Chances created61%Aerial duels won93%Defensive actions53%,1Goals1Assists4Started4Matches331Minutes played7.45Rating2Yellow cards0Red cards,Season performanceMinutes played: 331TotalPer 90ShootingRankGoals1Expected goals (xG)1.01xG on target (xGOT)0.66Non-penalty xG1.01Shots4Shots on target1PassingAssists1Expected assists (xA)0.48Successful passes177Pass accuracy93.2%Accurate long balls2Long ball accuracy50.0%Chances created2PossessionSuccessful dribbles2Dribble success100.0%Touches222Touches in opposition box9Dispossessed1Fouls won3Penalties awarded1DefendingTackles won2Tackles won %40.0%Duels won16Duels won %41.0%Aerial duels won6Aerial duels won %40.0%Interceptions1Blocked1Fouls committed11Recoveries15Possession won final 3rd3Dribbled past3DisciplineYellow cards2Red cards0
