Team,month,day,score
Sporting CP,8,31,2
Sporting CP,8,23,5
Sporting CP,8,17,6
Sporting CP,8,9,3
Sporting CP,8,3,3
Sporting CP,7,27,3
Sporting CP,7,23,2
Sporting CP,7,17,2
Sporting CP,5,26,1
Sporting CP,5,18,3
Sporting CP,5,11,1
Sporting CP,5,4,3
Sporting CP,4,28,2
Sporting CP,4,21,3
Sporting CP,4,16,1
Sporting CP,4,12,4
Sporting CP,4,6,2
Sporting CP,4,2,2
Sporting CP,3,29,2
Sporting CP,3,17,6
Sporting CP,3,14,1
Sporting CP,3,10,3
Sporting CP,3,6,1
Sporting CP,3,3,3
Sporting CP,2,29,2
Sporting CP,2,25,3
Sporting CP,2,22,1
Sporting CP,2,19,2
Sporting CP,2,15,3
Sporting CP,2,11,5
Sporting CP,2,7,3
Sporting CP,1,29,8
Sporting CP,1,23,0
Benfica,8,30,1
Benfica,8,24,1
Benfica,8,17,3
Benfica,8,11,0
Benfica,8,2,0
Benfica,5,17,1
Benfica,5,12,5
Benfica,5,5,0
Benfica,4,27,3
Benfica,4,22,3
Benfica,4,18,0
Benfica,4,14,3
Benfica,4,11,2
Benfica,4,6,1
Benfica,4,2,2
Benfica,3,29,1
Benfica,3,17,1
Benfica,3,14,1
Benfica,3,10,3
Benfica,3,7,2
Benfica,3,3,0
Benfica,2,29,1
Benfica,2,25,4
Benfica,2,22,0
Benfica,2,18,6
Benfica,2,15,2
Benfica,2,11,2
Benfica,2,8,2
Benfica,2,4,3
Benfica,1,29,4
Benfica,1,24,1
Benfica,1,19,2
Braga,9,1,0
Braga,8,29,2
Braga,8,25,3
Braga,8,22,2
Braga,8,18,1
Braga,8,15,2
Braga,8,11,1
Braga,8,8,0
Braga,8,1,5
Braga,7,25,2
Braga,5,18,0
Braga,5,11,3
Braga,5,5,4
Braga,4,13,1
Braga,4,20,2
Braga,4,27,1
Braga,4,6,0
Braga,4,1,5
Braga,3,16,2
Braga,3,9,0
Braga,3,2,3
Braga,2,26,4
Braga,2,22,3
Braga,2,18,2
Braga,2,15,2
Braga,2,11,0
Braga,2,4,1
Braga,1,31,1
Braga,1,27,1
Braga,1,23,1
Braga,1,18,2
Braga,1,14,0
Braga,1,10,2
Braga,1,6,1
FC Porto,8,31,0
FC Porto,8,24,2
FC Porto,8,16,2
FC Porto,8,10,3
FC Porto,8,3,4
FC Porto,5,26,2
FC Porto,5,18,1
FC Porto,5,12,2
FC Porto,5,4,3
FC Porto,4,28,2
FC Porto,4,21,2
FC Porto,4,17,3
FC Porto,4,13,2
FC Porto,4,7,1
FC Porto,4,3,1
FC Porto,3,30,0
FC Porto,3,16,4
FC Porto,3,12,0
FC Porto,3,8,3
FC Porto,3,3,5
FC Porto,2,29,2
FC Porto,2,25,1
FC Porto,2,21,1
FC Porto,2,17,2
FC Porto,2,12,2
FC Porto,2,3,0
FC Porto,1,28,3
FC Porto,1,20,5
FC Porto,1,14,2
FC Porto,1,9,4
FC Porto,1,5,1
FC Porto,12,29,1
FC Porto,12,23,2
Famalicao,9,1,1
Famalicao,8,24,1
Famalicao,8,19,3
Famalicao,8,11,2
Famalicao,5,17,1
Famalicao,5,10,1
Famalicao,5,5,2
Famalicao,4,28,0
Famalicao,4,21,2
Famalicao,4,16,0
Famalicao,4,13,2
Famalicao,4,6,3
Famalicao,3,29,2
Famalicao,3,16,0
Famalicao,3,9,0
Famalicao,3,4,1
Famalicao,2,23,2
Famalicao,2,16,2
Famalicao,2,10,1
Famalicao,1,28,0
Famalicao,1,18,1
Famalicao,1,13,2
Famalicao,1,7,2
Famalicao,12,29,0
Famalicao,12,17,1
Famalicao,12,9,1
Famalicao,12,2,0
Moreirense,8,30,1
Moreirense,8,25,1
Moreirense,8,18,3
Moreirense,8,11,2
Moreirense,5,18,2
Moreirense,5,12,1
Moreirense,5,3,1
